,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
921124,160000660489,2016,Altos,PI,30.0,F,1,1,,,Altos,385.8,391.5,517.8,369.8,400.0
926726,160000661020,2016,Altos,PI,18.0,F,1,1,,,Altos,408.2,533.1,523.6,459.8,560.0
927630,160000665961,2016,Altos,PI,19.0,M,2,2,Pau D'Arco do Piauí,2.0,Altos,505.4,555.3,478.4,375.6,660.0
932135,160000175766,2016,Altos,PI,20.0,F,1,1,,,Altos,468.2,583.2,583.7,411.8,540.0
932387,160000186518,2016,Altos,PI,47.0,M,1,1,,,Altos,,,,,
936291,160000155320,2016,Altos,PI,20.0,M,1,1,,,Altos,500.3,571.5,522.2,434.7,460.0
937615,160000173526,2016,Altos,PI,20.0,M,1,1,,,Altos,492.8,530.4,509.2,393.2,560.0
941508,160000181751,2016,Altos,PI,20.0,F,1,1,,,Altos,424.3,559.8,510.4,342.4,800.0
945158,160000179391,2016,Altos,PI,16.0,F,3,1,,,Teresina,528.2,484.4,526.8,508.0,500.0
950401,160000174401,2016,Altos,PI,16.0,M,2,2,Altos,2.0,Altos,496.3,436.4,427.0,368.6,460.0
951171,160000169181,2016,Altos,PI,19.0,F,1,1,,,Altos,472.2,443.8,458.8,380.1,560.0
954248,160000159208,2016,Altos,PI,16.0,F,3,1,,,Altos,377.1,460.2,461.1,404.7,400.0
956451,160000174658,2016,Altos,PI,18.0,M,1,1,,,Altos,403.3,465.1,437.9,490.9,440.0
963728,160002162639,2016,Altos,PI,15.0,F,3,1,,,Altos,,,,,
968457,160002195407,2016,Altos,PI,22.0,F,1,1,,,Altos,422.4,403.3,528.6,606.4,520.0
969310,160002195448,2016,Altos,PI,19.0,F,1,1,,,Altos,453.1,425.0,448.1,462.8,360.0
970697,160002493152,2016,Altos,PI,19.0,M,1,1,,,Altos,591.9,578.5,,,
971154,160002464255,2016,Altos,PI,47.0,M,1,1,,,Altos,,,,,
972275,160002486078,2016,Altos,PI,20.0,F,1,1,,,Altos,,,,,
973737,160002471669,2016,Altos,PI,15.0,F,3,1,,,Altos,417.3,480.9,428.0,368.4,340.0
981767,160002479442,2016,Altos,PI,40.0,M,1,1,,,Altos,464.0,570.9,491.8,482.5,500.0
984532,160002483216,2016,Altos,PI,17.0,F,1,1,,,Altos,430.6,510.8,546.6,361.0,480.0
990129,160002451058,2016,Altos,PI,29.0,M,1,1,,,Altos,474.3,516.6,456.5,359.3,680.0
991523,160002480071,2016,Altos,PI,17.0,F,2,3,Altos,4.0,Altos,488.4,382.9,478.7,441.0,440.0
1000618,160002455342,2016,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,405.8,465.9,485.8,428.6,580.0
1007225,160002438137,2016,Altos,PI,23.0,M,1,1,,,Altos,521.6,536.9,570.7,393.8,540.0
1011407,160002399095,2016,Altos,PI,25.0,M,1,1,,,Altos,,,,,
1028714,160002436059,2016,Altos,PI,19.0,M,1,1,,,Altos,578.8,628.5,582.2,567.0,600.0
1031161,160002436253,2016,Altos,PI,18.0,M,1,1,,,Altos,398.1,551.7,448.7,408.1,380.0
1038332,160002393653,2016,Altos,PI,20.0,F,1,1,,,Altos,432.0,433.1,455.8,557.1,500.0
1043009,160002419069,2016,Altos,PI,48.0,M,1,1,,,Altos,,,,,
1051529,160002192890,2016,Altos,PI,20.0,F,1,1,,,Altos,423.4,509.1,429.8,453.6,560.0
1052356,160002185773,2016,Altos,PI,19.0,F,1,1,,,Altos,467.1,524.8,456.5,488.3,640.0
1059287,160002184815,2016,Altos,PI,20.0,F,1,1,,,Altos,501.2,556.0,545.3,423.3,740.0
1059651,160002184955,2016,Altos,PI,23.0,F,1,1,,,Altos,426.4,551.0,435.9,485.3,540.0
1069058,160002506674,2016,Altos,PI,20.0,F,1,1,,,Altos,414.5,516.1,523.6,397.8,480.0
1075595,160002521866,2016,Altos,PI,27.0,F,1,1,,,Altos,447.8,489.6,482.6,376.3,460.0
1091065,160002514266,2016,Altos,PI,24.0,M,1,1,,,Altos,553.4,522.6,429.9,590.2,400.0
1094934,160002462832,2016,Altos,PI,19.0,M,2,2,Altos,2.0,Altos,404.2,405.0,453.4,408.9,360.0
1097926,160002484714,2016,Altos,PI,31.0,M,1,1,,,Altos,466.1,542.3,503.3,449.9,360.0
1098807,160002481200,2016,Altos,PI,17.0,F,3,1,,,Altos,,,,,
1106240,160002492512,2016,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,475.4,524.2,483.7,383.1,460.0
1107353,160002441955,2016,Altos,PI,15.0,F,3,1,,,Altos,488.2,594.9,603.7,709.3,720.0
1118816,160002310949,2016,Altos,PI,24.0,F,1,1,,,Altos,570.0,491.2,416.0,420.2,260.0
1124382,160002236933,2016,Altos,PI,18.0,M,2,2,Teresina,2.0,Altos,474.5,612.4,562.3,412.4,560.0
1125906,160002243876,2016,Altos,PI,19.0,F,1,1,,,Altos,441.3,489.0,469.7,433.7,580.0
1130005,160002240736,2016,Altos,PI,33.0,F,1,1,,,Altos,524.9,519.2,522.1,511.3,220.0
1130472,160002268136,2016,Altos,PI,18.0,F,3,1,,,Altos,424.3,427.0,449.6,367.7,520.0
1136084,160002227483,2016,Altos,PI,37.0,M,2,2,Teresina,3.0,Teresina,403.6,476.1,511.7,480.1,360.0
1137010,160002227561,2016,Altos,PI,20.0,F,1,1,,,Altos,387.0,518.1,586.3,433.8,620.0
1140940,160002549901,2016,Altos,PI,32.0,F,1,1,,,Altos,,,,,
1143653,160002546571,2016,Altos,PI,18.0,F,1,1,,,Altos,,,,,
1152177,160002529758,2016,Altos,PI,19.0,M,1,1,,,Altos,445.7,456.7,502.9,420.5,460.0
1152328,160002533294,2016,Altos,PI,20.0,M,2,2,Altos,2.0,Altos,447.7,472.7,457.2,419.1,600.0
1154181,160002536844,2016,Altos,PI,24.0,M,1,1,,,Altos,508.9,572.5,546.8,432.3,560.0
1159192,160002007208,2016,Altos,PI,20.0,F,1,1,,,Altos,513.3,517.3,513.6,471.4,400.0
1163954,160002035336,2016,Altos,PI,39.0,F,1,1,,,Altos,406.9,549.0,408.7,553.9,400.0
1164334,160002025030,2016,Altos,PI,16.0,M,3,1,,,Altos,468.4,465.5,533.4,483.4,820.0
1166421,160002025178,2016,Altos,PI,25.0,M,1,1,,,Altos,458.7,438.5,553.6,392.8,500.0
1167082,160001994386,2016,Altos,PI,19.0,M,2,2,Altos,2.0,Altos,439.7,413.0,452.7,397.9,440.0
1170620,160001994468,2016,Altos,PI,17.0,F,2,2,Pau D'Arco do Piauí,2.0,Altos,503.7,481.6,413.8,389.6,440.0
1170701,160001994489,2016,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,449.3,524.5,464.6,430.8,540.0
1170959,160000344341,2016,Altos,PI,24.0,M,1,1,,,Altos,603.8,587.0,553.8,444.8,760.0
1174734,160000351013,2016,Altos,PI,18.0,F,1,1,,,Altos,385.7,473.7,501.6,421.6,440.0
1182926,160000317076,2016,Altos,PI,26.0,M,1,1,,,Altos,436.1,462.9,388.2,401.4,360.0
1189672,160002009139,2016,Altos,PI,23.0,M,2,2,Teresina,2.0,Altos,436.7,481.7,540.0,566.6,400.0
1190410,160002022722,2016,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,389.6,536.1,523.1,448.4,320.0
1192375,160000196615,2016,Altos,PI,39.0,F,1,1,,,Altos,,,,,
1195875,160000196763,2016,Altos,PI,31.0,F,1,1,,,Altos,440.0,411.7,474.7,380.1,420.0
1199767,160000214601,2016,Altos,PI,24.0,F,1,1,,,Altos,,,,,
1203275,160002002459,2016,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,441.5,604.2,528.8,363.0,720.0
1207422,160000206305,2016,Altos,PI,18.0,F,1,1,,,Altos,450.5,479.9,507.8,369.1,460.0
1209732,160000212233,2016,Altos,PI,34.0,F,1,1,,,Altos,592.7,607.7,583.4,516.2,540.0
1211649,160000198178,2016,Altos,PI,20.0,F,2,2,Altos,2.0,Altos,448.1,393.3,416.0,425.8,380.0
1214452,160000221119,2016,Altos,PI,20.0,F,1,1,,,Altos,,,,,
1214813,160000235697,2016,Altos,PI,18.0,F,1,1,,,Altos,372.2,476.6,494.7,467.1,580.0
1220438,160000209890,2016,Altos,PI,18.0,F,1,1,,,Altos,454.8,494.5,470.7,401.9,520.0
1222112,160000195745,2016,Altos,PI,22.0,F,1,1,,,Altos,580.6,530.8,549.6,414.9,580.0
1223603,160000224496,2016,Altos,PI,16.0,F,3,1,,,Altos,519.9,463.6,446.2,493.0,480.0
1224551,160000213020,2016,Altos,PI,18.0,M,3,1,,,Altos,380.8,517.1,530.9,556.8,440.0
1227884,160002027008,2016,Altos,PI,20.0,F,2,2,Altos,2.0,Altos,470.8,475.1,423.4,424.2,520.0
1228036,160000605332,2016,Altos,PI,20.0,F,1,1,,,Altos,448.9,567.1,501.8,419.9,620.0
1228461,160000607430,2016,Altos,PI,19.0,F,1,1,,,Altos,484.5,486.2,556.2,354.2,440.0
1233923,160000622637,2016,Altos,PI,25.0,F,1,1,,,Altos,430.3,536.1,471.4,468.6,560.0
1234216,160002020258,2016,Altos,PI,18.0,M,2,2,Altos,2.0,Altos,368.5,511.5,438.1,418.1,520.0
1239821,160000626993,2016,Altos,PI,19.0,F,1,1,,,Altos,389.7,438.0,518.9,511.7,360.0
1239926,160002018819,2016,Altos,PI,16.0,F,2,2,Altos,2.0,Altos,417.5,413.2,494.1,462.3,380.0
1243532,160000633226,2016,Altos,PI,29.0,M,1,1,,,Altos,453.9,516.8,575.3,495.8,640.0
